	GT1	GT10	GT11	GT12	GT13	GT14	GT15	GT16	GT17	GT18	GT2	GT3	GT4	GT5	GT6	GT7	GT8	GT9	HHM1	HHM10	HHM11	HHM12	HHM13	HHM14	HHM15	HHM16	HHM17	HHM18	HHM2	HHM3	HHM4	HHM5	HHM6	HHM7	HHM8	HHM9
ASV_189	124	117	0	178	20	32	0	197	0	0	0	0	0	290	0	0	61	24	0	26	0	0	0	114	0	258	31	64	0	0	0	37	0	0	0	112
ASV_71	67	2	0	152	681	547	0	3	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	10	0	165	8	4	0	0	0	3	0	0	0	3
ASV_68	209	36	0	110	29	153	0	37	0	0	0	0	0	98	0	0	77	68	0	43	0	0	0	131	0	214	75	210	0	0	0	133	0	0	0	33
ASV_61	106	7	0	216	76	138	0	28	0	0	0	0	0	69	0	0	58	130	0	48	0	0	0	96	0	118	286	184	0	0	0	71	0	0	0	15
ASV_305	253	96	0	124	24	153	0	89	0	0	0	0	0	77	0	0	72	86	0	38	0	0	0	130	0	226	114	63	0	0	0	26	0	0	0	74
ASV_59	84	101	0	302	5	28	0	80	0	0	0	0	0	438	0	0	93	2	0	228	0	0	0	94	0	79	11	54	0	0	0	8	0	0	0	30
ASV_75	219	41	0	142	39	110	0	185	0	0	0	0	0	92	0	0	52	83	0	62	0	0	0	127	0	119	61	162	0	0	0	37	0	0	0	100
ASV_76	32	21	0	174	91	149	0	49	0	0	0	0	0	189	0	0	87	168	0	106	0	0	0	23	0	226	178	54	0	0	0	57	0	0	0	7
ASV_63	16	26	0	103	297	75	0	41	0	0	0	0	0	230	0	0	113	196	0	192	0	0	0	10	0	113	133	3	0	0	0	4	0	0	0	21
ASV_88	98	2	0	314	11	361	0	21	0	0	0	0	0	11	0	0	10	133	0	11	0	0	0	67	0	87	59	193	0	0	0	167	0	0	0	22
ASV_73	4	0	0	7	99	47	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0	5	33	616	0	0	0	698	0	0	0	3
ASV_70	1063	5	0	0	0	11	0	6	0	0	0	0	0	11	0	0	35	0	0	1	0	0	0	239	0	33	32	16	0	0	0	7	0	0	0	16
ASV_84	260	36	0	89	23	57	0	149	0	0	0	0	0	50	0	0	32	70	0	20	0	0	0	209	0	75	35	139	0	0	0	43	0	0	0	172
ASV_80	90	86	0	170	4	19	0	119	0	0	0	0	0	193	0	0	55	13	0	39	0	0	0	114	0	109	19	116	0	0	0	29	0	0	0	253
ASV_106	188	46	0	147	73	84	0	38	0	0	0	0	0	76	0	0	46	158	0	34	0	0	0	113	0	145	75	91	0	0	0	75	0	0	0	35
ASV_90	250	48	0	66	7	64	0	6	0	0	0	0	0	139	0	0	24	59	0	9	0	0	0	161	0	80	32	92	0	0	0	9	0	0	0	369
ASV_97	44	8	0	294	50	132	0	81	0	0	0	0	0	104	0	0	50	102	0	15	0	0	0	51	0	189	87	94	0	0	0	45	0	0	0	32
ASV_93	250	21	0	76	8	39	0	57	0	0	0	0	0	25	0	0	23	111	0	7	0	0	0	163	0	76	36	189	0	0	0	150	0	0	0	139
ASV_86	305	5	0	156	14	82	0	32	0	0	0	0	0	58	0	0	18	38	0	20	0	0	0	116	0	62	74	253	0	0	0	89	0	0	0	20
ASV_94	218	15	0	45	25	81	0	59	0	0	0	0	0	44	0	0	20	54	0	10	0	0	0	95	0	342	48	153	0	0	0	62	0	0	0	55
ASV_91	74	49	0	63	22	48	0	275	0	0	0	0	0	357	0	0	38	35	0	17	0	0	0	122	0	62	57	45	0	0	0	3	0	0	0	49
ASV_2631	53	0	0	190	47	9	0	7	0	0	0	0	0	6	0	0	3	61	0	7	0	0	0	43	0	51	256	353	0	0	0	164	0	0	0	63
ASV_107	175	76	0	22	1	23	0	274	0	0	0	0	0	62	0	0	47	12	0	9	0	0	0	134	0	32	7	55	0	0	0	59	0	0	0	314
ASV_99	238	45	0	101	12	107	0	74	0	0	0	0	0	58	0	0	63	66	0	18	0	0	0	123	0	141	52	68	0	0	0	41	0	0	0	95
ASV_109	11	10	0	289	38	44	0	141	0	0	0	0	0	22	0	0	9	575	0	15	0	0	0	4	0	36	22	45	0	0	0	3	0	0	0	26
ASV_143	112	18	0	145	18	138	0	17	0	0	0	0	0	38	0	0	36	96	0	43	0	0	0	46	0	81	42	195	0	0	0	239	0	0	0	14
ASV_103	10	32	0	176	133	143	0	40	0	0	0	0	0	71	0	0	66	225	0	52	0	0	0	16	0	119	150	11	0	0	0	18	0	0	0	8
ASV_133	1	0	0	248	121	8	0	8	0	0	0	0	0	2	0	0	13	10	0	7	0	0	0	0	0	5	825	4	0	0	0	1	0	0	0	1
ASV_114	135	10	0	168	49	84	0	32	0	0	0	0	0	27	0	0	30	218	0	38	0	0	0	99	0	126	104	51	0	0	0	34	0	0	0	31
